Pong-v0,0.999,32,100000,50000,1.0,0.1,1000000,4,2500,5e-05
step,rew_mean,len_mean,episode_count
1000,-9.666666666666666,616.3333333333334,3
2000,-14.0,817.4,5
3000,-16.666666666666668,1009.6666666666666,9
4000,-17.923076923076923,1046.7692307692307,13
5000,-18.58823529411765,1099.5294117647059,17
6000,-18.85,1101.1,20
7000,-19.08695652173913,1112.8260869565217,23
8000,-19.192307692307693,1124.076923076923,26
9000,-19.310344827586206,1132.0,29
10000,-19.375,1156.5625,32
11000,-19.444444444444443,1169.5,36
12000,-19.487179487179485,1167.6666666666667,39
13000,-19.51219512195122,1172.1463414634147,41
14000,-19.57777777777778,1174.088888888889,45
15000,-19.653061224489797,1167.7142857142858,49
16000,-19.69811320754717,1174.7735849056603,53
17000,-19.714285714285715,1180.142857142857,56
18000,-19.74576271186441,1177.4745762711864,59
19000,-19.725806451612904,1192.6290322580646,62
20000,-19.772727272727273,1187.6363636363637,66
21000,-19.808823529411764,1185.5588235294117,68
22000,-19.86111111111111,1183.0972222222222,72
23000,-19.894736842105264,1183.342105263158,76
24000,-19.924050632911392,1177.6835443037974,79
25000,-19.902439024390244,1185.0853658536585,82
26000,-19.905882352941177,1188.6,85
27000,-19.921348314606742,1189.4044943820224,89
28000,-19.956521739130434,1185.6521739130435,92
29000,-19.9375,1189.6770833333333,96
30000,-19.93877551020408,1188.3265306122448,98
31000,-20.16,1205.19,102
32000,-20.2,1211.12,106
33000,-20.22,1207.48,109
34000,-20.22,1206.42,113
35000,-20.22,1205.97,115
36000,-20.21,1204.45,119
37000,-20.22,1202.22,122
38000,-20.24,1203.93,126
39000,-20.25,1203.02,129
40000,-20.25,1201.89,131
41000,-20.25,1198.68,135
42000,-20.28,1196.77,139
43000,-20.3,1194.32,143
44000,-20.26,1199.21,147
45000,-20.24,1201.5,150
46000,-20.26,1200.77,152
47000,-20.27,1199.14,155
48000,-20.27,1199.59,159
49000,-20.3,1192.53,163
50000,-20.3,1193.43,165
51000,-20.31,1197.45,167
52000,-20.24,1211.05,171
53000,-20.25,1212.29,175
54000,-20.23,1218.58,179
55000,-20.26,1212.54,182
56000,-20.26,1209.7,184
57000,-20.27,1206.0,187
58000,-20.27,1210.83,191
59000,-20.3,1207.88,195
60000,-20.35,1206.8,199
61000,-20.37,1205.65,202
62000,-20.38,1203.58,203
63000,-20.32,1214.92,207
64000,-20.3,1220.33,211
65000,-20.26,1225.45,213
66000,-20.23,1230.24,216
67000,-20.21,1233.46,219
68000,-20.17,1240.99,223
69000,-20.17,1240.05,225
70000,-20.14,1242.51,229
71000,-20.14,1242.29,233
72000,-20.16,1240.06,236
73000,-20.15,1241.61,240
74000,-20.14,1244.29,241
75000,-20.14,1246.36,245
76000,-20.13,1247.68,248
77000,-20.13,1245.3,252
78000,-20.12,1246.26,255
79000,-20.13,1248.33,259
80000,-20.12,1247.04,262
81000,-20.1,1253.41,264
