Pong-v0,0.999,32,100000,50000,1.0,0.1,1000000,4,2500,0.0005
step,rew_mean,len_mean,episode_count
1000,-7.0,406.75,4
2000,-13.875,777.875,8
3000,-15.0,887.6,10
4000,-16.23076923076923,981.2307692307693,13
5000,-16.8125,1066.625,16
6000,-17.4,1107.9,20
7000,-17.727272727272727,1109.1363636363637,22
8000,-18.115384615384617,1133.1153846153845,26
9000,-18.433333333333334,1133.7666666666667,30
10000,-18.705882352941178,1140.735294117647,34
11000,-18.783783783783782,1152.081081081081,37
12000,-18.871794871794872,1152.2307692307693,39
13000,-19.0,1151.4761904761904,42
14000,-19.130434782608695,1157.1304347826087,46
15000,-19.2,1167.98,50
16000,-19.20754716981132,1179.7169811320755,53
17000,-19.236363636363638,1184.4545454545455,55
18000,-19.28813559322034,1187.7457627118645,59
19000,-19.35483870967742,1182.9193548387098,62
20000,-19.384615384615383,1190.0923076923077,65
21000,-19.426470588235293,1189.9558823529412,68
22000,-19.450704225352112,1197.1408450704225,71
23000,-19.493333333333332,1193.1866666666667,75
24000,-19.531645569620252,1193.9746835443038,79
25000,-19.573170731707318,1194.341463414634,82
26000,-19.611764705882354,1193.0470588235294,85
27000,-19.636363636363637,1195.625,88
28000,-19.66304347826087,1197.0869565217392,92
29000,-19.680851063829788,1198.3936170212767,94
30000,-19.70408163265306,1205.7857142857142,98
31000,-19.92,1216.19,101
32000,-20.27,1237.83,104
33000,-20.26,1239.2,108
34000,-20.26,1237.62,110
35000,-20.24,1240.91,113
36000,-20.26,1235.26,116
37000,-20.28,1230.76,120
38000,-20.27,1228.23,124
39000,-20.28,1227.04,128
40000,-20.26,1229.08,131
41000,-20.23,1228.47,134
42000,-20.25,1226.47,136
43000,-20.23,1232.02,140
44000,-20.23,1233.01,144
45000,-20.26,1228.9,147
46000,-20.31,1220.94,151
47000,-20.35,1210.16,155
48000,-20.38,1204.64,158
49000,-20.38,1204.76,162
50000,-20.37,1206.8,164
51000,-20.38,1204.76,168
52000,-20.43,1196.48,172
53000,-20.42,1200.35,176
54000,-20.43,1196.26,179
55000,-20.44,1195.63,181
56000,-20.44,1196.98,185
57000,-20.45,1195.3,188
58000,-20.46,1192.85,192
59000,-20.45,1189.71,196
